NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2023-04-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-18,"35,41571426",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-17,"24,96232224",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-16,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-14,"16,94992447",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-10,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-09,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-08,"21,97886086",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-07,"34,18572235",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-01,"29,91973877",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-31,"23,79289436",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-30,"47,58578873",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-29,"12,4595089",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-27,"34,14561081",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-26,"20,39614105",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-24,"19,70355606",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-20,"9,290439606",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-16,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-14,"38,38212967",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-13,"11,49579144",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-12,"30,40054131",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-11,"13,37484455",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-10,"16,94397736",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-09,"33,62181091",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-08,"6,30539608",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-07,"16,94397736",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-05,"16,09327698",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-04,"43,52621078",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-03,"30,2583828",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-03-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-26,"9,646600723",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-24,"21,49141502",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-23,"51,52284241",SP,"-24,88874209","-48,42697368"
